set school = schoolPlayground.jpg
set classroom = classroom.jpg

set teacher = male.png
set friendSmile = friendSmile.png
set friendNotHappy = friend.png
set friend2 = friend2.png
set girl = girl.png
set girlSmile = girlSmile.png

bg #{school}


msg ？ 唉？你会画画啊？你在画什么？

msg ？ 你很喜欢车吗？

msg 我 ……还好，就是没事的时候瞎画。

msg ？ 可以给我看下吗？

msg 我 嗯。

msg ？ 画的挺不错啊。你以前学过画画吗？

msg 我 以前小学、初中的时候学过几年，后来就没学了。

msg ？ 为什么没学了呢？

msg 我 没什么原因，感觉我还是喜欢把画画当成我的业余爱好。一动不动地坐着画几个小时实在不喜欢。

msg ？ 哈哈。

msg 金 你估计还不知道我的名字吧？我叫金。

msg 我 ……嗯。你好。

msg 金 我都说了自己的名字了，你也应该尊重一下吧。

msg 我 ……我叫陈芝玄。

msg 金 这样才对嘛。

msg 金 该上课了，那之后再聊。

msg 我 好的。



msg 欧阳 走啊，吃饭去？

msg 我 不知道吃什么。而且现在人又这么多。

msg 金 那打雪仗去？

msg 欧阳 好啊好啊！

msg 我 我靠，没搞错吧？你们多大了，还玩这个？

msg 欧阳 你就说去不去吧？

msg 我 好好好，去去去。真受不了你们。

msg 欧阳 好冷啊。

msg 金 是啊，好冷啊。

msg 我 那你们还非要下来玩雪？

msg 欧阳 反正你在上面也没事干。

msg 我 我还要学习呢。我可是很忙的。

msg 欧阳 不装逼会死啊。

msg 我 草！

msg 欧阳 哈哈，不好意思，没想到打的这么准。

......

msg 金 真希望我们三个以后也能像现在这样。

msg 我 什么？

msg 金 没什么。


msg 我 你不是回家了吗？

msg 金 没。

msg 我 呃，好吧。

msg 金 你不问我为什么在这里吗？

msg 金 你难道就没有什么话要对我说吗？

msg 我 呃......

msg 金 算了。

msg 我 我暑假给你打电话。

msg 金 好的。



msg 我 我其实都没跟她说我要出国读书的事。

msg 我 今天就要去北京办签证了。我该怎么跟她开口呢？

msg 妈妈 儿子，准备好了吗？

msg 我 准备好了。

msg 妈妈 那走吧。

msg 我 好。



msg 我 躺在行驶着的火车卧铺上，我的心也像有规律地轧在铁轨上的火车一样忐忑不安。

msg 我 「我今天就去北京了。」

msg 金 「啊？你怎么都不告诉我？」

msg 我 「也是我爸妈临时决定的。走的比较匆忙。」想了想还是这个回答最好。

msg 金 「好吧。」

msg 我 「一下就到暑假了。感觉时间过得好快。」

msg 金 「是啊。一转眼高中第一年就过去了。」

msg 我 「你有喜欢的人吗？」

msg 我 我知道突然问这个问题显得有些突兀，但我的手仿佛不受控制一般迅速在键盘上敲击了这句话然后发送了出去。

msg 我 ……发完的瞬间我就后悔了。

msg 我 ……好像过了上万年之久，手机的屏幕亮了。

msg 金 「ZM」

msg 我 果然她有喜欢的人啊，问这种问题真是自取其辱。「那你可以告诉我这个人是谁吗？是我们班上的吗？」

msg 金 「你猜。」

msg 我 「猜不出来。」

msg 金 「笨蛋。」

msg 我 「？为什么」

msg 金 「ZM是芝麻的意思。」

msg 我 看到这句话的瞬间我突然不知道该说什么了。因为那是我的绰号，也是一个只会被她叫的绰号。

msg 金 「……」

msg 我 「我也喜欢你。」

msg 金 「啊啊啊~好开心~」

msg 我 「其实我也是。」

msg 我 ……于是我们就这样一直聊直到我手机没电。


msg 我 就这样我们通过电话与短信开心地聊了一个暑假，直到我要走的那天才发现我是如此的舍不得离开这里、离开她。


msg 我 来到国外之后生活中各种的不适应让我的心情低落无比，再加上时差不同让我们之间产生了隔阂，她也意识到了这一点。所以在她在即时通讯软件上提出分手的那一刻，我除了默默地流泪之外，什么话都没有说。

msg 我 高中毕业之后的同学聚会我们又见面了。我犹豫了好久才走过去敬她一杯。我们彼此相视一笑，仿佛一切都没有发生过。












